"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Digital","OverDrive","EBOOK","2016","10","1","Slim by Design: Mindless Eating Solutions for Everyday Life","Brian Wansink","Health & Fitness, Nonfiction, Sociology","HarperCollins Publishers Inc.","2014"
"Physical","Horizon","VIDEODISC","2016","10","7","Trollflöjten [videorecording] = The magic flute / Janus Films ; [presented by] Carmen F. Zollo ; [écrit et réalisé par Ingmar Bergman] ; Sveriges Radio AB.",,"Operas, Feature films","Criterion Collection,","[2000]"
"Digital","OverDrive","EBOOK","2016","10","1","Great Expectations","Charles Dickens","Classic Literature, Fiction","Penguin Group (USA), Inc.","2011"
"Physical","Horizon","BOOK","2016","10","1","A dangerous friend / Ward Just.","Just, Ward S.","Vietnam War 1961 1975 Fiction, Vietnam History 1945 1975 Fiction, Americans Vietnam Fiction, Plantation life Fiction, Adventure fiction, Psychological fiction","Houghton Mifflin Co.,","1999."
"Physical","Horizon","SOUNDDISC","2016","10","3","Bridge School benefit [sound recording].",,"Rock music 2011 2020, Popular music 2011 2020","Reprise,","p2011."
"Physical","Horizon","BOOK","2016","10","1","The kingdom on the waves / taken from accounts by his [Octavian Nothing's] own hand and other sundry sources ; collected by M.T. Anderson of Boston.","Anderson, M. T.","African Americans Juvenile fiction, Freedom Fiction, Slavery Juvenile fiction, United States History Revolution 1775 1783 Naval operations British Juvenile fiction, Virginia History Revolution 1775 1783 Juvenile fiction","Candlewick Press,","[2011], c2008."
"Physical","Horizon","BOOK","2016","10","12","How to bake a book / Ella Burfoot.","Burfoot, Ella","Stories in rhyme, Books and reading Fiction, Baking Fiction","Sourcebooks Jabberwocky,","2014."
"Physical","Horizon","BOOK","2016","10","2","We have tornadoes / Linda Crotta Brennan.","Brennan, Linda Crotta","Tornadoes Miscellanea Juvenile literature, Childrens questions and answers","Cherry Lake Publishing,","[2015]"
"Physical","Horizon","VIDEODISC","2016","10","8","Disney's The kid [videorecording] / Walt Disney Pictures ; a Junction Entertainment production ; produced by Jon Turteltaub, Christina Steinberg, Hunt Lowry ; written by Audrey Wells ; directed by Jon Turteltaub.",,"Success Drama, Children Drama, Feature films, Comedy films, Fiction films, Video recordings for the hearing impaired","Walt Disney Home Video : Distributed by Buena Vista Home Entertainment,","[2000?]"
"Physical","Horizon","BOOK","2016","10","3","Something true / Karelia Stetz-Waters.","Stetz-Waters, Karelia.","Lesbians Fiction, Coffee shops Oregon Portland Fiction, Romance fiction","Forever Yours,","2015, c2014."
"Digital","OverDrive","EBOOK","2016","10","1","Accordion Crimes","Annie Proulx","Fiction, Literature","Simon & Schuster, Inc.","2014"
"Physical","Horizon","BOOK","2016","10","3","Death in Venice, and seven other stories / Thomas Mann ; translated from the German by H.T. Lowe-Porter.","Mann, Thomas, 1875-1955","Aschenbach Gustav von Fictitious character Fiction, Middle age Fiction, Male homosexuality Fiction, Venice Italy Fiction, Short stories, Psychological fiction","Vintage Books,","1989, c1963."
"Physical","Horizon","BOOK","2016","10","1","All that remains / Patricia Cornwell.","Cornwell, Patricia Daniels","Scarpetta Kay Fictitious character Fiction, Medical examiners Law Fiction, Serial murder investigation Virginia Fiction, Forensic pathologists Fiction, Women physicians Fiction, Women detectives Fiction, Serial murders Fiction, Richmond Va Fiction, Mystery fiction","Pocket Star Books,","2009, ©1992."
"Digital","Freegal","SONG","2016","10","1","Elevator Operator","Gene Clark & The Gosdin Brothers",,,
"Physical","Horizon","BOOK","2016","10","3","Agnes Martin : her life and art / Nancy Princenthal.","Princenthal, Nancy","Martin Agnes 1912 2004, Painters United States Biography, Painting Abstract United States","Thames & Hudson,","c2015."
"Digital","Freegal","SONG","2016","10","1","John McLaughlin","Miles Davis",,,
"Physical","Horizon","BOOK","2016","10","18","Paper Towns / John Green.","Green, John, 1977-","Missing persons Fiction, Florida Juvenile fiction, Bildungsromans, Mystery and detective stories","Speak,","2009, c2008."
"Physical","Horizon","BOOK","2016","10","1","Glory in death [text (large print)] / Nora Roberts writing as J.D. Robb.","Robb, J. D., 1950-","Dallas Eve Fictitious character Fiction, Police New York State New York Fiction, Women Crimes against Fiction, New York N Y Fiction, Policewomen Fiction, Women detectives Fiction, Mystery fiction, Large type books","Thorndike Press,","2009."
"Physical","Horizon","BOOK","2016","10","1","AWOL on the Appalachian trail / David Miller.","Miller, David, 1961-","Hiking Appalachian Trail Guidebooks, Appalachian Trail Guidebooks, Appalachian Trail Description and travel, Appalachian Mountains Description and travel","Houghton Mifflin Harcourt,","2011."
"Physical","Horizon","BOOK","2016","10","2","The new codependency : help and guidance for the today's generation / Melody Beattie.","Beattie, Melody","Codependency, Self care Health","Simon & Schuster,","2009."
"Physical","Horizon","BOOK","2016","10","1","My rat / Gerd Ludwig.","Ludwig, Gerd","Rats as pets","Barron's,","c2012."
"Physical","Horizon","BOOK","2016","10","2","One mitten / by Kristine O'Connell George ; illustrated by Maggie Smith.","George, Kristine O'Connell","Mittens Juvenile fiction, Lost and found possessions Fiction, Stories in rhyme Juvenile fiction","Clarion Books,","2004."
"Physical","Horizon","BOOK","2016","10","1","The lost wife / Alyson Richman.","Richman, Alyson","Jews Fiction, World War 1939 1945 Fiction, Marriage Fiction, Prague Czech Republic Fiction, Love stories","Berkley Books,","2011."
"Physical","Horizon","BOOK","2016","10","1","Amber was brave, Essie was smart : the story of Amber and Essie told here in poems and pictures / by Vera B. Williams.","Williams, Vera B.","Sisters Juvenile poetry, Childrens poetry American Juvenile fiction, American poetry Juvenile fiction","Greenwillow Books,","2001."
"Physical","Horizon","BOOK","2016","10","1","Cloud nine / by Caryl Churchill.","Churchill, Caryl",,"S. French,","c1979."
"Physical","Horizon","BOOK","2016","10","2","You are dead / Peter James.","James, Peter, 1948-","Grace Roy Fictitious character Fiction, Police England Brighton Fiction, Women Crimes against Fiction, Serial murder investigation Fiction, Large type books, Mystery fiction, Suspense fiction, Thrillers Fiction","Center Point Large Print,","2016."
"Digital","OverDrive","EBOOK","2016","10","1","Beyond the Burning Lands","John Christopher","Juvenile Fiction","Simon & Schuster, Inc.","2015"
"Digital","Hoopla","TELEVISION","2016","10","3","Latin Dance Mix",,"Health & Fitness","Gaiam",
"Physical","Horizon","BOOK","2016","10","15","Bear sees colors / Karma Wilson ; illustrations by Jane Chapman.","Wilson, Karma","Bears Juvenile fiction, Animals Juvenile fiction, Friendship in children Juvenile fiction, Colors Juvenile fiction, Bears Fiction, Animals Fiction, Friendship Fiction, Color Fiction, Stories in rhyme","Margaret K. McElderry Books,","[2014]"
"Physical","Horizon","BOOK","2016","10","1","Blood and bone / William Lashner.","Lashner, William","Fathers Death Fiction, Lawyers Crimes against Fiction, Murder Investigation Fiction, Mystery fiction","William Morrow,","c2009."
"Physical","Horizon","BOOK","2016","10","5","Who stole Halloween? / Martha Freeman.","Freeman, Martha, 1956-","Cats Juvenile fiction, Kidnapping Juvenile fiction, Ghosts Fiction, Haunted houses Juvenile fiction, Halloween Juvenile fiction, Mystery and detective stories","Holiday House,","c2005."
"Physical","Horizon","BOOK","2016","10","2","No reservations : around the world on an empty stomach / Anthony Bourdain.","Bourdain, Anthony","Bourdain Anthony Travel, Voyages and travels Anecdotes, Tourism and gastronomy, Gastronomy","Bloomsbury,","2007."
"Physical","Horizon","BOOK","2016","10","2","The last little blue envelope / Maureen Johnson.","Johnson, Maureen, 1973-","Voyages and travels Juvenile fiction, Swindlers and swindling Juvenile fiction, Letters Juvenile fiction, Artists Juvenile fiction, Aunts Juvenile fiction, Interpersonal relations Juvenile fiction, Europe Juvenile fiction, Young adult fiction","HarperTeen,","2011."
"Physical","Horizon","BOOK","2016","10","3","Disgraced : a play / Ayad Akhtar.","Akhtar, Ayad","Pakistani Americans Drama, Muslims United States Drama, Islamophobia United States Drama","Back Bay Books,","2013."
