,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,creator,subjects,publisher,publicationyear
9,Digital,OverDrive,AUDIOBOOK,2018,2,1,Cleopatra (Unabridged),H. Rider Haggard,"Fiction, Literature","Blackstone Audio, Inc.",2008
12,Digital,OverDrive,AUDIOBOOK,2018,2,20,Matilda (Unabridged),Roald Dahl,"Fantasy, Juvenile Fiction",Books on Tape,2014
14,Digital,OverDrive,AUDIOBOOK,2018,2,4,The Power of Sleep (Unabridged),Kelly Howell,"Nonfiction, Self-Improvement",Books on Tape,2008
16,Digital,OverDrive,AUDIOBOOK,2018,2,3,Phantom Instinct (Unabridged),Meg Gardiner,"Fiction, Mystery","Blackstone Audio, Inc.",2014
39,Digital,OverDrive,AUDIOBOOK,2018,4,1,The Vaults (Unabridged),Toby Ball,"Fiction, Mystery",Iambik Audio,2014
55,Digital,OverDrive,AUDIOBOOK,2018,12,3,I Liked My Life: A Novel (unabridged) (Unabridged),Abby Fabiaschi,"Fiction, Literature",Macmillan Audio,2017
65,Digital,OverDrive,AUDIOBOOK,2018,12,12,"Red Notice: A True Story of High Finance, Murder and One Man's Fight for Justice (unabridged) (Unabridged)",Bill Browder,"Business, Nonfiction","Recorded Books, LLC",2018
70,Digital,OverDrive,AUDIOBOOK,2018,12,1,Cutting Edge: A Novel (unabridged) (Unabridged),Ward Larsen,"Fiction, Thriller",Macmillan Audio,2018
122,Digital,OverDrive,AUDIOBOOK,2018,1,5,The Terror (Unabridged),Dan Simmons,"Fiction, Literature",Books on Tape,2007
137,Digital,OverDrive,AUDIOBOOK,2018,1,1,The House (Unabridged),Danielle Steel,"Fiction, Romance",Books on Tape,2008
150,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Get Motivated!: Overcome Any Obstacle, Achieve Any Goal, and Accelerate Your Success with Motivational DNA (unabridged) (Unabridged)",Tamara Lowe,"Business, Nonfiction",Books on Tape,2009
156,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Problem of Pain (Unabridged),C. S. Lewis,"Nonfiction, Religion & Spirituality",HarperCollins Publishers Inc.,2013
161,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Power of the Dog (Unabridged),Don Winslow,"Fiction, Suspense","Blackstone Audio, Inc.",2011
186,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Scent of Salt and Sand: Escaped Series, Book 2.5 (unabridged) (Unabridged)",Kristin Cast,"Fantasy, Fiction, Romance","Blackstone Audio, Inc.",2016
209,Digital,OverDrive,AUDIOBOOK,2018,1,4,Fahrenheit 451 (Unabridged),Ray Bradbury,"Fiction, Science Fiction & Fantasy","Tantor Media, Inc",2014
223,Digital,OverDrive,AUDIOBOOK,2018,1,64,Into the Water: A Novel (unabridged) (Unabridged),Paula Hawkins,"Fiction, Literature, Suspense, Thriller",Books on Tape,2017
238,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The World Is Bigger Now: An American Journalist's Release from Captivity in North Korea . . . A Remarkable Story of Faith, Family, and Forgiveness (unabridged) (Unabridged)",Euna Lee,"Biography & Autobiography, Nonfiction",Books on Tape,2010
242,Digital,OverDrive,AUDIOBOOK,2018,1,2,"Through the Grinder: Coffeehouse Mystery Series, Book 2 (unabridged) (Unabridged)",Cleo Coyle,"Fiction, Mystery","Blackstone Audio, Inc.",2012
253,Digital,OverDrive,AUDIOBOOK,2018,1,1,Why Teams Don't Work: What Went Wrong & How to Make It Right (abridged) (Abridged),Harvey Robbins,"Business, Nonfiction",HighBridge Company,2007
256,Digital,OverDrive,AUDIOBOOK,2018,1,4,"By a Spider's Thread: Tess Monaghan Series, Book 8 (unabridged) (Unabridged)",Laura Lippman,"Fiction, Suspense, Thriller",HarperCollins Publishers Inc.,2017
257,Digital,OverDrive,AUDIOBOOK,2018,1,9,Two Years Eight Months and Twenty-Eight Nights: A Novel (unabridged) (Unabridged),Salman Rushdie,"Fantasy, Fiction, Literature, Mythology",Books on Tape,2015
